pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
Cook Islands,all_energy_types,1980,0.0,0.0,,,0.0,0.0,
Cook Islands,coal,1980,0.0,0.0,,,0.0,0.0,
Cook Islands,natural_gas,1980,0.0,0.0,,,0.0,0.0,
Cook Islands,petroleum_n_other_liquids,1980,0.0,0.0,,,0.0,0.0,
Cook Islands,nuclear,1980,,,,,0.0,0.0,0.0
Cook Islands,renewables_n_other,1980,0.0,0.0,,,0.0,0.0,0.0
Costa Rica,all_energy_types,1980,0.06,0.02,,2389.97,23.07,0.0,
Costa Rica,coal,1980,0.0,0.0,,2389.97,23.07,0.0,
Costa Rica,natural_gas,1980,0.0,0.0,,2389.97,23.07,0.0,
Costa Rica,petroleum_n_other_liquids,1980,0.03,0.0,,2389.97,23.07,0.0,
Costa Rica,nuclear,1980,,,,2389.97,23.07,0.0,0.0
Costa Rica,renewables_n_other,1980,0.02,0.02,,2389.97,23.07,0.0,0.0
Croatia,all_energy_types,1980,,,,,,,
Croatia,coal,1980,,,,,,,
Croatia,natural_gas,1980,,,,,,,
Croatia,petroleum_n_other_liquids,1980,,,,,,,
Croatia,nuclear,1980,,,,,,,0.0
Croatia,renewables_n_other,1980,,,,,,,0.0
Cuba,all_energy_types,1980,0.46,0.02,,9849.46,46.21,0.0,
Cuba,coal,1980,0.0,0.0,,9849.46,46.21,0.0,
Cuba,natural_gas,1980,0.0,0.0,,9849.46,46.21,0.0,
Cuba,petroleum_n_other_liquids,1980,0.44,0.01,,9849.46,46.21,0.0,
Cuba,nuclear,1980,,,,9849.46,46.21,0.0,0.0
Cuba,renewables_n_other,1980,0.01,0.01,,9849.46,46.21,0.0,0.0
Cyprus,all_energy_types,1980,0.04,0.0,,512.3,82.98,0.0,
Cyprus,coal,1980,0.0,0.0,,512.3,82.98,0.0,
Cyprus,natural_gas,1980,0.0,0.0,,512.3,82.98,0.0,
Cyprus,petroleum_n_other_liquids,1980,0.04,0.0,,512.3,82.98,0.0,
Cyprus,nuclear,1980,,,,512.3,82.98,0.0,0.0
Cyprus,renewables_n_other,1980,0.0,0.0,,512.3,82.98,0.0,0.0
Czech Republic,all_energy_types,1980,,,,,,,
Czech Republic,coal,1980,,,,,,,
Czech Republic,natural_gas,1980,,,,,,,
Czech Republic,petroleum_n_other_liquids,1980,,,,,,,
Czech Republic,nuclear,1980,,,,,,,0.0
Czech Republic,renewables_n_other,1980,,,,,,,0.0
Côte d’Ivoire,all_energy_types,1980,0.07,0.02,,8033.65,9.1,0.0,
Côte d’Ivoire,coal,1980,0.0,0.0,,8033.65,9.1,0.0,
Côte d’Ivoire,natural_gas,1980,0.0,0.0,,8033.65,9.1,0.0,
Côte d’Ivoire,petroleum_n_other_liquids,1980,0.06,0.0,,8033.65,9.1,0.0,
Côte d’Ivoire,nuclear,1980,,,,8033.65,9.1,0.0,0.0
